Number,Link,Description,Title,State,New,Image
13,https://www.mountaineers.org/books/books/mount-baker-wa-no-13-green-trails-maps,"Original Issue Date 1977; Latest Revision 2018

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Mount Baker-Snoqualmie National Forest
Mount Baker Wilderness
Excelsior Peak
Church Mountain
Glacier Creek Sno-Park",Mount Baker,WA,,https://www.mountaineers.org/books/books/mount-baker-wa-no-13-green-trails-maps/@@images/c5507519-cd3b-4fb5-b88f-ebbdec587425.jpeg
14,https://www.mountaineers.org/books/books/mount-shuksan-wa-no-14-green-trails-maps,"Discover the sheer rugged beauty of the wild high country surrounding one of the North Cascade’s most iconic and photographed mountains. And there is no place better to appreciate this awe inspiring mountain than from Heather Meadows and Artist Point at the end of the Mount Baker Highway. With this map you can plan incredible day hikes to Lake Ann, Ptarmigan Ridge, and the Bagley and Galena Chain Lakes. To the north of Shuksan are equally spectacular trails; the Nooksack Cirque, Hannegan Peak, Goat Mountain, High Pass, Winchester Mountain, Yellow Aster Butte, and Welcome Pass among them. This map also contains the Swift Creek Trail (PNT) and Baker River Trail.

Original Issue Date 1977; Latest Revision 2016",Mount Shuksan,WA,,https://www.mountaineers.org/books/books/mount-shuksan-wa-no-14-green-trails-maps/@@images/19f9451e-dea0-490d-80eb-466c5b425116.jpeg
15,https://www.mountaineers.org/books/books/mount-challenger-wa-no-15-green-trails-maps,"Original Issue Date 1977; Latest Revision 2017

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

North Cascades National Park
Stephen Mather Wilderness
Whatcom Peak
Picket Range
Mount Terror
Inspiration Peak
Mount Redoubt
Easy Ridge
Mount Fury",Mount Challenger,WA,,https://www.mountaineers.org/books/books/mount-challenger-wa-no-15-green-trails-maps/@@images/0f7185bb-b660-41e4-9657-ef9bcec4c3e5.jpeg
16,https://www.mountaineers.org/books/books/ross-lake-wa-no-16-green-trails-maps,"Original Issue Date 1977; Latest Revision 2022

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

North Cascades National Park
Ross Lake National Recreation Area
Big Beaver Creek
Little Beaver Creek
Desolation Peak",Ross Lake,WA,,https://www.mountaineers.org/books/books/ross-lake-wa-no-16-green-trails-maps/@@images/8aaddc95-187e-450f-b454-56fa87042363.jpeg
17,https://www.mountaineers.org/books/books/jack-mountain-wa-no-17-green-trails-maps,"Original Issue Date 1980; Latest Revision 2018

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Mount Baker-Snoqualmie National Forest
Ross Lake National Recreation Area
Pasayten Wilderness
Skagit Peak
Jackita Ridge
Devils Pass
Devils Dome
Mount Winthrop",Jack Mountain,WA,,https://www.mountaineers.org/books/books/jack-mountain-wa-no-17-green-trails-maps/@@images/e9d2feee-ca10-4d77-9d6d-466315b796b7.jpeg
18,https://www.mountaineers.org/books/books/pasayten-peak-wa-no-18-green-trails-maps,"Original Issue Date 1977; Latest Revision 2017

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Okanogan-Wenatchee National Forest
Pasayten Wilderness
Tamarack Peak
Holman Peak
Pasayten Peak
Wildcat Mountain",Pasayten Peak,WA,,https://www.mountaineers.org/books/books/pasayten-peak-wa-no-18-green-trails-maps/@@images/2b0c8b0e-cfea-4411-96d1-309917d5a97a.jpeg
19,https://www.mountaineers.org/books/books/billy-goat-mountain-wa-no-19-green-trails-maps,"Original Issue Date 1977; Latest Revision 2018

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Okanogan-Wenatchee National Forest
Pasayten Wilderness
Pass Butte
Three Pinnacles
Two Point Mountain",Billy Goat Mountain,WA,,https://www.mountaineers.org/books/books/billy-goat-mountain-wa-no-19-green-trails-maps/@@images/37c3d64f-b160-421b-be77-67d4b277ccf7.jpeg
20,https://www.mountaineers.org/books/books/coleman-peak-wa-no-20-green-trails-maps,"Original Issue Date 1980; Latest Revision 2018

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Okanogan-Wenatchee National Forest
Pasayten Wilderness
Cathedral Peak
Remmel Mountain
Peepsight Mountain


12"" x 18"", paper, flat",Coleman Peak,WA,,https://www.mountaineers.org/books/books/coleman-peak-wa-no-20-green-trails-maps/@@images/62aaa40e-e48f-46a2-9660-c92cc3987085.jpeg
21,https://www.mountaineers.org/books/books/horseshoe-basin-wa-no-21-green-trails-maps,"Original Issue Date 1980; Latest Revision 2018

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Okanogan-Wenatchee National Forest
Loomis State Forest
Chopaka Mountain Natural Area Preserve
Pasayten Wilderness
Horseshoe Basin
Windy Peak
Armstrong Mountain


Flat: 12"" x 18"", 15-minute map, paper",Horseshoe Basin,WA,,https://www.mountaineers.org/books/books/horseshoe-basin-wa-no-21-green-trails-maps/@@images/c5b19a98-8388-44ce-be04-08037752423c.jpeg
45,https://www.mountaineers.org/books/books/hamilton-wa-no-45-green-trails-maps,"Original Issue Date 1976; Latest Revision 2020

Green Trails Maps show the most current trail, road, and access information to national forests, national parks, state and local parks and other public lands.

Mount Baker-Snoqualmie National Forest
Mount Baker Wilderness
Harry Osborne State Forest
Mount Baker National Recreation Area
Park Butte
Railroad Grade
Rasar State Park",Hamilton,WA,,https://www.mountaineers.org/books/books/hamilton-wa-no-45-green-trails-maps/@@images/f8691f77-6141-4ac5-b57d-1a52865abbea.jpeg
